Database Identifier,Database Name,Test Result UID,Sample Name,Sample Type,Receipt Time,Test Time,Post Time,Provider,cis-Nerolidol,trans-Nerolidol,trans-Nerolidol 1,trans-Nerolidol 2,trans-Ocimene,3-Carene,Camphene,Caryophyllene Oxide,Eucalyptol,Geraniol,Guaiol,Isopulegol,Linalool,Ocimene,Terpinolene,alpha-Bisabolol,alpha-Humulene,alpha-Pinene,alpha-Terpinene,beta-Caryophyllene,beta-Myrcene,beta-Ocimene,beta-Pinene,delta-Limonene,gamma-Terpinene,p-Cymene,delta-9 THC-A,delta-9 THC,delta-8 THC,THC-A,THCV,CBN,CBD-A,CBD,CBDV,CBDV-A,delta-9 CBG-A,delta-9 CBG,CBC,Moisture Content
analytical360,Analytical 360,,BHO Blackberry 22,Archived,,,2013-08-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.5,1.3,,,,,,,,,0.08,,,
analytical360,Analytical 360,,BHO The Sour Bud,Archived,,,2013-08-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.65,1.2,,,,,,,,,0.75,0.34,,
analytical360,Analytical 360,,Northern Lights,Archived,,,2013-08-19,2,,,,,,,,,,,,,,,,,,,,,,,,,,,17.34,0.3,,,,,,,,,0.66,0.05,,
analytical360,Analytical 360,,Blueberry Kush,Archived,,,2013-08-19,3,,,,,,,,,,,,,,,,,,,,,,,,,,,18.41,2.14,,,,0.04,,,,,0.25,0.19,,
analytical360,Analytical 360,,White Dawg,Archived,,,2013-08-19,4,,,,,,,,,,,,,,,,,,,,,,,,,,,17.24,2.28,,,,,,,,,0.12,0.11,,
analytical360,Analytical 360,,PTW,Archived,,,2013-08-19,5,,,,,,,,,,,,,,,,,,,,,,,,,,,11.12,0.84,,,,,,,,,0.63,,,
analytical360,Analytical 360,,Green Crack,Archived,,,2013-08-19,6,,,,,,,,,,,,,,,,,,,,,,,,,,,13.73,0.17,,,,0.11,,,,,0.25,0.14,,
analytical360,Analytical 360,,Afcrack,Archived,,,2013-08-19,7,,,,,,,,,,,,,,,,,,,,,,,,,,,17.47,0.87,,,,0.35,,,,,0.42,0.06,,
analytical360,Analytical 360,,Super Lemon Haze,Archived,,,2013-08-19,3,,,,,,,,,,,,,,,,,,,,,,,,,,,16.9,0.52,,,,0.04,,,,,1.5,,,
analytical360,Analytical 360,,Plushberry,Archived,,,2013-08-19,3,,,,,,,,,,,,,,,,,,,,,,,,,,,14.27,1.9,,,,,,,,,,0.02,,
analytical360,Analytical 360,,Crystal Ice,Archived,,,2013-08-19,3,,,,,,,,,,,,,,,,,,,,,,,,,,,15.65,2.78,,,,,,,,,0.61,0.06,,
analytical360,Analytical 360,,Grape Ape,Archived,,,2013-08-19,3,,,,,,,,,,,,,,,,,,,,,,,,,,,16.59,1.43,,,,0.07,,,,,,0.02,,
analytical360,Analytical 360,,Jack Frost,Archived,,,2013-08-19,3,,,,,,,,,,,,,,,,,,,,,,,,,,,14.54,1.51,,,,0.08,,,,,,0.13,,
analytical360,Analytical 360,,White Widow,Archived,,,2013-08-19,3,,,,,,,,,,,,,,,,,,,,,,,,,,,12.31,1.36,,,,0.04,,,,,,0.03,,
analytical360,Analytical 360,,Jack the Ripper,Archived,,,2013-08-19,3,,,,,,,,,,,,,,,,,,,,,,,,,,,13.96,2.41,,,,,,,,,0.62,,,
analytical360,Analytical 360,,Sno Cap,Archived,,,2013-08-19,3,,,,,,,,,,,,,,,,,,,,,,,,,,,17.69,0.83,,,,,,,,,0.25,0.13,,
analytical360,Analytical 360,,Lemon Kush,Archived,,,2013-08-19,3,,,,,,,,,,,,,,,,,,,,,,,,,,,12.1,1.22,,,,0.08,,,,,0.49,0.08,,
analytical360,Analytical 360,,OG Kush (Ross),Archived,,,2013-08-19,2,,,,,,,,,,,,,,,,,,,,,,,,,,,18.25,0.88,,,,,,,,,0.3,0.09,,
analytical360,Analytical 360,,Wizard's Waskal,Archived,,,2013-08-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.96,1.89,,,,,,,,,0.46,0.09,,
analytical360,Analytical 360,,BHO White Dog,Archived,,,2013-08-20,8,,,,,,,,,,,,,,,,,,,,,,,,,,,56.42,5.01,,,,,,,,,,0.4,,
analytical360,Analytical 360,,BHO Fire OG,Archived,,,2013-08-20,8,,,,,,,,,,,,,,,,,,,,,,,,,,,60.36,2.22,,,,,,,,,0.11,0.24,,
analytical360,Analytical 360,,BHO Berry White,Archived,,,2013-08-20,8,,,,,,,,,,,,,,,,,,,,,,,,,,,56.41,3.22,,,,,,,,,,0.05,,
analytical360,Analytical 360,,BHO Flight,Archived,,,2013-08-20,8,,,,,,,,,,,,,,,,,,,,,,,,,,,57.91,7.83,,,,,,,,,,0.09,,
analytical360,Analytical 360,,BHO Lavender Kush,Archived,,,2013-08-20,8,,,,,,,,,,,,,,,,,,,,,,,,,,,56.98,4.37,,,,,,,,,,,,
analytical360,Analytical 360,,BHO Star Dawg Bx,Archived,,,2013-08-20,8,,,,,,,,,,,,,,,,,,,,,,,,,,,54.61,7.36,,,,,,,,,,,,
analytical360,Analytical 360,,BHO Fire Alien N-Butane,Archived,,,2013-08-20,8,,,,,,,,,,,,,,,,,,,,,,,,,,,52.19,10.32,,,,,,,,,0.09,0.12,,
analytical360,Analytical 360,,BHO Chemdawg 4 N-Butane,Archived,,,2013-08-20,8,,,,,,,,,,,,,,,,,,,,,,,,,,,57.56,5.37,,,,,,,,,,0.04,,
analytical360,Analytical 360,,RSO W115,Archived,,,2013-08-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.79,,,,,,,,,,,0.55,
analytical360,Analytical 360,,CO2 Space Dawg Refined Hash Oil (NW Trichome Circle),Archived,,,2013-08-20,9,,,,,,,,,,,,,,,,,,,,,,,,,,,16.1,48.01,,,,,,,,,,0.12,,
analytical360,Analytical 360,,OG Kush Blend Bubble Hash,Archived,,,2013-08-20,10,,,,,,,,,,,,,,,,,,,,,,,,,,,37.86,4.81,,,,,,,,,0.75,,,
analytical360,Analytical 360,,BHO Jack's Cleaner Wax,Archived,,,2013-08-20,10,,,,,,,,,,,,,,,,,,,,,,,,,,,53.29,6.18,,,,,,,,,0.3,0.03,,
analytical360,Analytical 360,,Ghost OG Ice Wax 45 um Bubble Hash,Archived,,,2013-08-20,11,,,,,,,,,,,,,,,,,,,,,,,,,,,42.75,3.63,,,,,,,,,,0.07,,
analytical360,Analytical 360,,Dutch Hawaiian,Archived,,,2013-08-20,14,,,,,,,,,,,,,,,,,,,,,,,,,,,14.37,0.36,,,,0.08,,,,,0.21,,,
analytical360,Analytical 360,,U Dub Purple,Archived,,,2013-08-20,14,,,,,,,,,,,,,,,,,,,,,,,,,,,11.55,0.93,,,,,,,,,0.33,,,
analytical360,Analytical 360,,Critical Mass,Archived,,,2013-08-20,14,,,,,,,,,,,,,,,,,,,,,,,,,,,12.6,0.15,,,,,,,,,0.03,,,
analytical360,Analytical 360,,Connie Chung,Archived,,,2013-08-20,14,,,,,,,,,,,,,,,,,,,,,,,,,,,17.45,1.05,,,,0.17,,,,,0.52,0.07,,
analytical360,Analytical 360,,Purple Mr. Nice,Archived,,,2013-08-20,14,,,,,,,,,,,,,,,,,,,,,,,,,,,9.61,0.21,,,,0.24,,,,,,,,
analytical360,Analytical 360,,Kraken,Archived,,,2013-08-20,8,,,,,,,,,,,,,,,,,,,,,,,,,,,9.27,0.75,,,,,,,,,,,,
analytical360,Analytical 360,,Flight,Archived,,,2013-08-20,8,,,,,,,,,,,,,,,,,,,,,,,,,,,15.62,0.97,,,,,,,,,,0.06,,
analytical360,Analytical 360,,Dutch Treat,Archived,,,2013-08-20,8,,,,,,,,,,,,,,,,,,,,,,,,,,,14.81,0.67,,,,0.09,,,,,0.41,0.06,,
analytical360,Analytical 360,,Afpak,Archived,,,2013-08-20,8,,,,,,,,,,,,,,,,,,,,,,,,,,,12.46,0.73,,,,,,,,,0.08,,,
analytical360,Analytical 360,,Sour OG,Archived,,,2013-08-20,15,,,,,,,,,,,,,,,,,,,,,,,,,,,17.6,0.22,,,,,,,,,0.41,0.13,,
analytical360,Analytical 360,,Fire O.G.,Archived,,,2013-08-20,8,,,,,,,,,,,,,,,,,,,,,,,,,,,15.52,0.29,,,,,,,,,0.09,0.09,,
analytical360,Analytical 360,,Pineapple Express – 1,Archived,,,2013-08-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.64,0.3,,,,,,,,,,0.07,,
analytical360,Analytical 360,,Pineapple Express – 2,Archived,,,2013-08-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.35,0.43,,,,,,,,,,0.05,,
analytical360,Analytical 360,,Sage N Sour by Isis,Archived,,,2013-08-20,13,,,,,,,,,,,,,,,,,,,,,,,,,,,11.55,0.18,,,,,,,,,0.01,,,
analytical360,Analytical 360,,White Cap by Hidden Valley,Archived,,,2013-08-20,13,,,,,,,,,,,,,,,,,,,,,,,,,,,14.06,0.3,,,,,,,,,0.72,0.07,,
analytical360,Analytical 360,,Cherry Pie,Archived,,,2013-08-20,13,,,,,,,,,,,,,,,,,,,,,,,,,,,8.13,1.27,,,,0.05,,,,,0.05,,,
analytical360,Analytical 360,,Cotton Candy SK,Archived,,,2013-08-20,13,,,,,,,,,,,,,,,,,,,,,,,,,,,11.16,0.97,,,,,,,,,0.02,0.04,,
analytical360,Analytical 360,,Ogre Kush,Archived,,,2013-08-20,13,,,,,,,,,,,,,,,,,,,,,,,,,,,18.93,1.1,,,,,,,,,,0.15,,
analytical360,Analytical 360,,Purple Erkel,Archived,,,2013-08-20,10,,,,,,,,,,,,,,,,,,,,,,,,,,,12.12,0.51,,,,0.04,,,,,,,,
analytical360,Analytical 360,,White Erkel,Archived,,,2013-08-20,10,,,,,,,,,,,,,,,,,,,,,,,,,,,10.66,1.03,,,,,,,,,,0.02,,
analytical360,Analytical 360,,Great White Shark #3,Archived,,,2013-08-20,10,,,,,,,,,,,,,,,,,,,,,,,,,,,9.52,0.92,,,,,,,,,,,,
analytical360,Analytical 360,,Jack's Cleaner #2,Archived,,,2013-08-20,10,,,,,,,,,,,,,,,,,,,,,,,,,,,12.16,1.81,,,,,,,,,0.19,0.1,,
analytical360,Analytical 360,,OG Kush #3,Archived,,,2013-08-20,10,,,,,,,,,,,,,,,,,,,,,,,,,,,11.77,0.4,,,,,,,,,,0.12,,
analytical360,Analytical 360,,Papaya,Archived,,,2013-08-20,10,,,,,,,,,,,,,,,,,,,,,,,,,,,13.63,2.17,,,,,,,,,,0.04,,
analytical360,Analytical 360,,OG Kush #4,Archived,,,2013-08-20,10,,,,,,,,,,,,,,,,,,,,,,,,,,,11.96,0.9,,,,,,,,,0.02,0.17,,
analytical360,Analytical 360,,Lemon Diesel,Archived,,,2013-08-20,10,,,,,,,,,,,,,,,,,,,,,,,,,,,12.32,0.46,,,,,,,,,,0.04,,
analytical360,Analytical 360,,Alquimista,Archived,,,2013-08-20,15,,,,,,,,,,,,,,,,,,,,,,,,,,,12.17,1.92,,,,,,,,,0.04,0.03,,
analytical360,Analytical 360,,White Widow (O.I. Gardens),Archived,,,2013-08-20,15,,,,,,,,,,,,,,,,,,,,,,,,,,,12.18,0.56,,,,,,,,,,0.08,,
analytical360,Analytical 360,,Skunk Berry,Archived,,,2013-08-20,15,,,,,,,,,,,,,,,,,,,,,,,,,,,12.25,0.23,,,,,,,,,0.1,0.07,,
analytical360,Analytical 360,,Dama Oil #13081601,Archived,,,2013-08-21,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.07,,,,,,,,,,,0.74,
analytical360,Analytical 360,,Dama Oil #13081301,Archived,,,2013-08-21,19,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,82.27,,,,,,,,,,,0.81,
analytical360,Analytical 360,,Simpson Hemp Oil AK-47,Archived,,,2013-08-21,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,
analytical360,Analytical 360,,HCC 0093 Blue Dream,Archived,,,2013-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.98,6.6,,,,,,,,,0.38,,,
analytical360,Analytical 360,,HCC 0094 Sweet Tooth,Archived,,,2013-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.91,7.29,,,,0.02,,,,,,0.14,,
analytical360,Analytical 360,,HCC 0095 Indica,Archived,,,2013-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.23,9.09,,,,,,,,,0.02,,,
analytical360,Analytical 360,,HCC 0096 Blueberry,Archived,,,2013-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.88,12.91,,,,,,,,,,,,
analytical360,Analytical 360,,BHO,Archived,,,2012-06-11,22,,,,,,,,,,,,,,,,,,,,,,,,,,,50.87,8.35,0.11,,,0.86,0.42,,,,,,,
analytical360,Analytical 360,,BHO Sweet Hawaiian,Archived,,,2012-06-11,23,,,,,,,,,,,,,,,,,,,,,,,,,,,44.68,18.21,0.35,,,0.4,0.22,,,,,,,
analytical360,Analytical 360,,Sensi Sweets Sour Diesel Cannbis Oil,Archived,,,2013-08-22,24,,,,,,,,,,,,,,,,,,,,,,,,,,,39.24,15.73,,,,,,,,,,0.23,,
analytical360,Analytical 360,,RSO Lot 08911302,Archived,,,2013-08-22,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.23,,,,,,,,,,,2.66,
analytical360,Analytical 360,,BHO Dairy Queen,Archived,,,2012-06-11,23,,,,,,,,,,,,,,,,,,,,,,,,,,,56.1,1.91,,,,0.54,0.78,,,,,,,
analytical360,Analytical 360,,Pre 98 Bubba Kush,Archived,,,2013-08-22,25,,,,,,,,,,,,,,,,,,,,,,,,,,,58.27,1.07,,,,,,,,,1.68,,,
analytical360,Analytical 360,,AK-47,Archived,,,2013-08-22,25,,,,,,,,,,,,,,,,,,,,,,,,,,,60.35,1.17,,,,,,,,,,0.05,,
analytical360,Analytical 360,,Blue Dream & Original Diesel,Archived,,,2013-08-22,25,,,,,,,,,,,,,,,,,,,,,,,,,,,56.24,2.57,,,,,,,,,1.64,0.36,,
analytical360,Analytical 360,,XXX Wax,Archived,,,2013-08-22,26,,,,,,,,,,,,,,,,,,,,,,,,,,,61.2,0.47,,,,,,,,,0.2,0.03,,
analytical360,Analytical 360,,GDP Bubble,Archived,,,2013-08-22,7,,,,,,,,,,,,,,,,,,,,,,,,,,,4.65,12.89,,,,,,,,,,,,
analytical360,Analytical 360,,BHO OG Kush (Top Rankin' Herbs & Oils),Archived,,,2013-08-22,27,,,,,,,,,,,,,,,,,,,,,,,,,,,48.65,10.07,,,,,,,,,,,,
analytical360,Analytical 360,,BHO Lemon Skunk (Top Rankin' Herbs & Oils),Archived,,,2013-08-22,27,,,,,,,,,,,,,,,,,,,,,,,,,,,49.03,10.4,,,,,,,,,1.07,0.02,,
analytical360,Analytical 360,,BHO Green Crack (Top Rankin' Herbs & Oils),Archived,,,2013-08-22,27,,,,,,,,,,,,,,,,,,,,,,,,,,,58.23,5.08,,,,0.03,,,,,2.42,0.03,,
analytical360,Analytical 360,,BHO Organic Mix (Top Rankin' Herbs & Oils),Archived,,,2013-08-22,27,,,,,,,,,,,,,,,,,,,,,,,,,,,37.48,18.59,,,,,,,,,,,,
analytical360,Analytical 360,,Headband Bubble Hash Rx,Archived,,,2012-06-11,20,,,,,,,,,,,,,,,,,,,,,,,,,,,32.28,5.49,,,,0.24,0.17,,,,,,,
analytical360,Analytical 360,,Better Budder Super Critical,Archived,,,2013-08-22,28,,,,,,,,,,,,,,,,,,,,,,,,,,,6.38,31.75,,,,,,0.51,,,,0.08,0.89,
analytical360,Analytical 360,,JP Riley Pure Hny 822,Archived,,,2013-08-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.87,,,,,,1.82,,,,12.82,0.84,
analytical360,Analytical 360,,PMD (Puff the Magic Dragon),Archived,,,2013-08-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.02,0.08,,,,,,,,,,0.01,,
analytical360,Analytical 360,,Kong,Archived,,,2013-08-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.67,0.32,,,,,,,,,,0.03,,
analytical360,Analytical 360,,The Shredder,Archived,,,2013-08-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.18,0.33,,,,,,,,,0.12,,,
analytical360,Analytical 360,,Kong #2,Archived,,,2013-08-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.42,0.17,,,,,,,,,,0.11,,
analytical360,Analytical 360,,The Splinter,Archived,,,2013-08-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.42,0.87,,,,,,,,,0.19,,,
analytical360,Analytical 360,,The Millennium Falcon,Archived,,,2013-08-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.07,0.54,,,,,,,,,0.97,0.09,,
analytical360,Analytical 360,,The Billy D,Archived,,,2013-08-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.5,0.29,,,,,,,,,,0.06,,
analytical360,Analytical 360,,Jack the Ripper,Archived,,,2013-08-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.32,2.67,,,,,,,,,0.36,0.05,,
analytical360,Analytical 360,,Full Moon BL,Archived,,,2013-08-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,0.46,,,,0.13,,,,,0.08,,,
analytical360,Analytical 360,,Mars,Archived,,,2013-08-22,16,,,,,,,,,,,,,,,,,,,,,,,,,,,10.33,0.23,,,,,,,,,,,,
analytical360,Analytical 360,,Shiva Skunk #2,Archived,,,2013-08-22,29,,,,,,,,,,,,,,,,,,,,,,,,,,,12.62,0.08,,,,,,,,,0.19,0.05,,
analytical360,Analytical 360,,Snow Queen,Archived,,,2013-08-22,30,,,,,,,,,,,,,,,,,,,,,,,,,,,12.8,0.27,,,,,,,,,,0.11,,
analytical360,Analytical 360,,Cotton Mango Star,Archived,,,2013-08-22,31,,,,,,,,,,,,,,,,,,,,,,,,,,,13.17,0.66,,,,,,,,,,0.1,,
analytical360,Analytical 360,,Af God,Archived,,,2013-08-22,32,,,,,,,,,,,,,,,,,,,,,,,,,,,14.37,0.15,,,,,,,,,0.09,0.01,,
analytical360,Analytical 360,,Girl Scout Cookies,Archived,,,2013-08-22,32,,,,,,,,,,,,,,,,,,,,,,,,,,,19.03,0.43,,,,,,,,,0.6,0.02,,
analytical360,Analytical 360,,White Russian,Archived,,,2013-08-22,32,,,,,,,,,,,,,,,,,,,,,,,,,,,13.8,0.69,,,,,,,,,0.14,0.1,,
analytical360,Analytical 360,,M.C. OG Funxta's IE #4,Archived,,,2013-08-22,33,,,,,,,,,,,,,,,,,,,,,,,,,,,14.04,1.12,,,,,,,,,0.24,0.13,,
analytical360,Analytical 360,,Sensi Star,Archived,,,2013-08-22,34,,,,,,,,,,,,,,,,,,,,,,,,,,,16.62,0.33,,,,0.01,,,,,0.03,0.03,,
analytical360,Analytical 360,,Sugar Black Rose,Archived,,,2013-08-22,34,,,,,,,,,,,,,,,,,,,,,,,,,,,11.98,0.27,,,,,,,,,,0.04,,
analytical360,Analytical 360,,RSO Deep Green,Archived,,,2012-06-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.94,3.45,,,0.02,0.07,2.66,,,,,,
analytical360,Analytical 360,,Kush Creams The Head Cheese BHO,Archived,,,2012-06-11,36,,,,,,,,,,,,,,,,,,,,,,,,,,,49.47,27.44,,,,0.37,0.14,,,,,,,
analytical360,Analytical 360,,White Dawg,Archived,,,2013-08-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.74,0.33,,,,,,,,,0.19,0.14,,
analytical360,Analytical 360,,Agent Orange,Archived,,,2013-08-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.28,1.35,,,,,,,,,0.03,0.04,,
analytical360,Analytical 360,,Gods Gift,Archived,,,2013-08-23,25,,,,,,,,,,,,,,,,,,,,,,,,,,,18.32,0.47,,,,0.09,,,,,0.1,0.06,,
analytical360,Analytical 360,,Velvet Kush,Archived,,,2013-08-23,25,,,,,,,,,,,,,,,,,,,,,,,,,,,16.2,0.38,,,,,,,,,0.11,0.02,,
analytical360,Analytical 360,,PIE,Archived,,,2013-08-23,7,,,,,,,,,,,,,,,,,,,,,,,,,,,11.72,1.25,,,,,,,,,,,,
analytical360,Analytical 360,,Jacks Cleaner,Archived,,,2013-08-23,7,,,,,,,,,,,,,,,,,,,,,,,,,,,17.28,0.48,,,,,,,,,0.64,0.07,,
analytical360,Analytical 360,,Blue Dream A (SMD),Archived,,,2013-08-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.14,0.9,,,,,,,,,,0.09,,
analytical360,Analytical 360,,Twitt,Archived,,,2013-08-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.88,0.06,,,,0.13,,,,,0.07,0.07,,
analytical360,Analytical 360,,Northern Kush (Soil Grown),Archived,,,2013-08-23,27,,,,,,,,,,,,,,,,,,,,,,,,,,,11.66,0.26,,,,,,,,,,0.06,,
analytical360,Analytical 360,,Afgoo Kief,Archived,,,2012-06-11,25,,,,,,,,,,,,,,,,,,,,,,,,,,,52.15,1.14,,,,0.37,0.62,,,,,,,
analytical360,Analytical 360,,RSO Blueberry Muffin,Archived,,,2013-08-23,15,,,,,,,,,,,,,,,,,,,,,,,,,,,1.36,68.84,,,,,,0.52,,,,,0.32,
analytical360,Analytical 360,,CO2 Kens Original GDP Oil,Archived,,,2013-08-23,39,,,,,,,,,,,,,,,,,,,,,,,,,,,42.55,8.62,,,,0.21,,,,,,,,
analytical360,Analytical 360,,CO2 Blue Dream Oil,Archived,,,2013-08-23,39,,,,,,,,,,,,,,,,,,,,,,,,,,,45.57,6.14,,,,0.11,,,,,1.64,0.25,,
analytical360,Analytical 360,,BHO AK – 47,Archived,,,2013-08-23,25,,,,,,,,,,,,,,,,,,,,,,,,,,,57.22,6.14,,,,,,,,,,0.19,,
analytical360,Analytical 360,,BHO Pre 98 Bubba Kush,Archived,,,2013-08-23,25,,,,,,,,,,,,,,,,,,,,,,,,,,,49.49,4.32,,,,0.44,2.25,,,,2.01,,,
analytical360,Analytical 360,,CO2 Green Tiger Gardens Batch #101,Archived,,,2013-08-23,40,,,,,,,,,,,,,,,,,,,,,,,,,,,20.79,37.15,,,,0.2,,,,,0.36,0.26,,
analytical360,Analytical 360,,Kandy Skunk,Archived,,,2013-08-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.86,,,,,0.03,,,,,,0.07,,
analytical360,Analytical 360,,Maui,Archived,,,2013-08-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.11,0.07,,,,,,,,,0.01,,,
analytical360,Analytical 360,,Pineapple Express,Archived,,,2013-08-24,41,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,0.06,,,,,,,,,0.05,0.03,,
analytical360,Analytical 360,,Kaia Kush,Archived,,,2013-08-24,42,,,,,,,,,,,,,,,,,,,,,,,,,,,12.17,1.77,,,,,,,,,0.01,0.04,,
analytical360,Analytical 360,,Chemwreck,Archived,,,2013-08-24,42,,,,,,,,,,,,,,,,,,,,,,,,,,,15.71,1.01,,,,,,,,,,0.1,,
analytical360,Analytical 360,,Purple Urkle,Archived,,,2013-08-24,4,,,,,,,,,,,,,,,,,,,,,,,,,,,13.76,0.3,,,,0.03,,,,,,,,
analytical360,Analytical 360,,Ghost Rider,Archived,,,2013-08-24,4,,,,,,,,,,,,,,,,,,,,,,,,,,,18.46,0.35,,,,,,,,,0.27,0.08,,
analytical360,Analytical 360,,Chem 4,Archived,,,2013-08-24,4,,,,,,,,,,,,,,,,,,,,,,,,,,,15.69,2.3,,,,,,,,,0.04,0.05,,
analytical360,Analytical 360,,Fruity Pebbles OG,Archived,,,2013-08-24,4,,,,,,,,,,,,,,,,,,,,,,,,,,,18.74,0.53,,,,,,,,,0.23,0.19,,
analytical360,Analytical 360,,OG Kush,Archived,,,2013-08-24,4,,,,,,,,,,,,,,,,,,,,,,,,,,,16.09,0.9,,,,,,,,,0.23,0.04,,
analytical360,Analytical 360,,Sour OG,Archived,,,2013-08-24,15,,,,,,,,,,,,,,,,,,,,,,,,,,,17.36,0.45,,,,,,,,,0.37,0.13,,
analytical360,Analytical 360,,Maple Leaf Indica,Archived,,,2013-08-24,15,,,,,,,,,,,,,,,,,,,,,,,,,,,7.98,2.66,,,,,,,,,,0.05,,
analytical360,Analytical 360,,Cough,Archived,,,2013-08-24,15,,,,,,,,,,,,,,,,,,,,,,,,,,,12.1,0.92,,,,,,,,,0.27,,,
analytical360,Analytical 360,,Oil 1,Archived,,,2013-08-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.4,6.59,,,,0.38,,,,,0.1,0.09,,
analytical360,Analytical 360,,Oil 2,Archived,,,2013-08-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.67,,,,,,,,,,,0.48,
analytical360,Analytical 360,,Hash Oil Fucking Incredible,Archived,,,2013-08-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.33,,,,,,0.03,,,,,0.55,
analytical360,Analytical 360,,RSO,Archived,,,2013-08-24,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.47,,,,,,,,,,0.16,0.84,
analytical360,Analytical 360,,BHO Sweet Tea,Archived,,,2013-08-24,33,,,,,,,,,,,,,,,,,,,,,,,,,,,41.23,8.71,,,,2.37,,,,,0.03,,0.41,
analytical360,Analytical 360,,HCC 0097 Lemon Haze Bubble,Archived,,,2013-08-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.09,4.22,,,,,,,,,0.58,,,
analytical360,Analytical 360,,BHO 0098 OG Kush,Archived,,,2013-08-25,44,,,,,,,,,,,,,,,,,,,,,,,,,,,60.55,1.45,,,,,,,,,,0.2,,
analytical360,Analytical 360,,BHO 0099 Bubba Kush,Archived,,,2013-08-25,44,,,,,,,,,,,,,,,,,,,,,,,,,,,55.14,1.27,,,,0.21,,,,,,0.19,,
analytical360,Analytical 360,,BHO Lemon Diesel,Archived,,,2013-08-25,35,,,,,,,,,,,,,,,,,,,,,,,,,,,55.9,3.24,,,,,,,,,0.18,,,
analytical360,Analytical 360,,Nitro Extraction Sample 1,Archived,,,2013-08-25,27,,,,,,,,,,,,,,,,,,,,,,,,,,,1.84,34.89,,,,,,,,,,0.67,,
analytical360,Analytical 360,,RSO (Richmond Beach Cannabis Collective),Archived,,,2013-08-25,18,,,,,,,,,,,,,,,,,,,,,,,,,,,3.86,20.62,,,,,,,,,,,0.41,
analytical360,Analytical 360,,Jack the Ripper (Pristine Gardens),Archived,,,2013-08-25,39,,,,,,,,,,,,,,,,,,,,,,,,,,,12.41,3.17,,,,,,,,,0.18,0.01,,
analytical360,Analytical 360,,Jack the Ripper (Ganja Girl Gardens),Archived,,,2013-08-25,39,,,,,,,,,,,,,,,,,,,,,,,,,,,12.4,2.72,,,,,,,,,0.35,0.01,,
analytical360,Analytical 360,,X J13,Archived,,,2013-08-25,25,,,,,,,,,,,,,,,,,,,,,,,,,,,15.22,0.55,,,,,,,,,,0.02,,
analytical360,Analytical 360,,F.I.,Archived,,,2013-08-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.11,0.32,,,,,,,,,0.25,,,
analytical360,Analytical 360,,Pre 98 Bubba Kush (Panacea Gardens),Archived,,,2013-08-25,13,,,,,,,,,,,,,,,,,,,,,,,,,,,13.69,2.03,,,,,,,,,1.52,0.02,,
analytical360,Analytical 360,,Headband Haze (Panacea Gardens),Archived,,,2013-08-25,13,,,,,,,,,,,,,,,,,,,,,,,,,,,10.74,1.83,,,,,,,,,0.76,0.04,,
analytical360,Analytical 360,,Bruce Banner,Archived,,,2013-08-25,45,,,,,,,,,,,,,,,,,,,,,,,,,,,17.47,0.68,,,,,,,,,0.16,0.1,,
